webcode,url,title
cf3,http://www.uni-muenchen.de/studium/studienangebot/zusatzquali/index.html,Zusatzangebote der LMU
46n,http://www.hilfe.lsf.uni-muenchen.de/lsf_hilfe/funktionen/stdplan/index.html,LSF Anleitung
ole,http://conf.cip.ifi.lmu.de/,Informatik Rechnerkonfiguration
bu0,,
lck,,
s9b,,
7cf,,
4fh,,
3yo,,
b6i,,
05t,,
lst,,
3yt,,
